"ID","x","y","z","time"
1,270.06879258164,248.395528650394,78.4059293180054,2024-01-01 12:00:00
1,268.351109434951,250.051610650837,72.6666906913703,2024-01-01 13:00:00
1,266.42818519061,250.22650151264,68.7536342179079,2024-01-01 14:00:00
1,265.375579289033,247.930714292571,66.9754383326895,2024-01-01 15:00:00
1,264.793598654682,246.879773976391,66.1632594312778,2024-01-01 16:00:00
1,264.2393432031,245.489514503371,65.5577452286841,2024-01-01 17:00:00
1,262.405069910993,244.687113476209,64.699061839321,2024-01-01 18:00:00
1,260.861620100087,244.618480523129,64.5042426395135,2024-01-01 19:00:00
1,255.765245385685,237.981863407592,64.6652540401663,2024-01-01 20:00:00
1,256.4928077761,236.222075475653,64.6713008411729,2024-01-01 21:00:00
1,260.640204240956,232.14895826662,65.4244852519807,2024-01-01 22:00:00
1,263.833710917859,231.686664759662,66.0536672521336,2024-01-01 23:00:00
1,267.025303647993,235.164390616047,66.9065809816265,2024-01-02 00:00:00
1,268.180210157734,237.152752915764,66.9693095146304,2024-01-02 01:00:00
1,270.252525468249,238.630437219393,66.151913647567,2024-01-02 02:00:00
1,272.46979279941,238.473977698249,64.017196415743,2024-01-02 03:00:00
1,274.52871490663,234.552402027489,62.8340186459851,2024-01-02 04:00:00
1,274.413336408893,233.33697666375,62.8585803922539,2024-01-02 05:00:00
1,276.392258920273,232.184318812882,62.4446833511145,2024-01-02 06:00:00
1,276.747408814687,230.760079107602,62.4923147202205,2024-01-02 07:00:00
1,271.664327682979,222.394505363754,63.3310935152793,2024-01-02 08:00:00
1,271.563588315652,221.057208291566,63.1920553686311,2024-01-02 09:00:00
1,274.274576767475,215.241300512066,64.708763987346,2024-01-02 10:00:00
1,274.371530877714,214.369700616494,65.1520812843524,2024-01-02 11:00:00
1,272.63696725692,205.540376953958,70.0141844988581,2024-01-02 12:00:00
1,274.622773086753,203.874603407815,71.7092546768596,2024-01-02 13:00:00
1,279.038188583949,198.827619509484,77.5924190559581,2024-01-02 14:00:00
1,280.791447332546,197.99756106194,78.8468546348057,2024-01-02 15:00:00
1,282.684982540294,196.671405588739,80.9339167952886,2024-01-02 16:00:00
1,286.258441132401,192.708834369145,91.2590262480091,2024-01-02 17:00:00
1,287.886688049265,191.37910497753,98.0525323876315,2024-01-02 18:00:00
1,288.240684227748,191.341543122329,101.88840564612,2024-01-02 19:00:00
1,287.040961246962,190.250286822437,105.159796070585,2024-01-02 20:00:00
1,284.857424395402,190.839775117661,107.907443386299,2024-01-02 21:00:00
1,283.880471460957,192.979512427084,108.690747958623,2024-01-02 22:00:00
1,290.103335168666,199.112526476115,109.120759440909,2024-01-02 23:00:00
1,291.195469610273,200.273911951705,109.339504517095,2024-01-03 00:00:00
1,291.282607934426,201.508535595741,109.330529508191,2024-01-03 01:00:00
1,291.560060141571,205.302356910457,108.926862353999,2024-01-03 02:00:00
1,299.804102172571,214.779393760773,110.118737325553,2024-01-03 03:00:00
1,303.089078293371,215.342595848923,110.509428168654,2024-01-03 04:00:00
1,306.741615324897,226.762168109611,110.361507920775,2024-01-03 05:00:00
1,306.653604015368,228.866883462248,110.194661084209,2024-01-03 06:00:00
1,305.286719029902,230.604205663589,110.551589095324,2024-01-03 07:00:00
1,300.599365909142,236.68530383503,111.779939039565,2024-01-03 08:00:00
1,298.53503241846,237.373516165613,112.344566659672,2024-01-03 09:00:00
1,296.461247581134,238.002261597482,112.407441411218,2024-01-03 10:00:00
1,288.249504718263,236.684791584919,111.357402344593,2024-01-03 11:00:00
1,284.476091675508,238.02400918711,110.715930734194,2024-01-03 12:00:00
1,280.346470224366,237.539634353349,109.112349093107,2024-01-03 13:00:00
1,279.640205235733,237.402813628614,109.058262875496,2024-01-03 14:00:00
1,273.157252250976,236.165234695528,107.740146150439,2024-01-03 15:00:00
1,270.921085107738,236.312542435306,107.312266733913,2024-01-03 16:00:00
1,269.700088645576,237.671608697948,107.105109569846,2024-01-03 17:00:00
